ID,Name,FiscalYear,FiscalYearEnd,Revenue,USFEIN,SSN,InputAddressAL,InputAddressCity,InputAddressState,InputAddressZipCode,InputAddressCountry,NewInTY22,FinalInTY22,K1DueJune30,FromADVPF,ENableTaxSoftware,Website,ChainID,FDN_Category2,FDN_Country,FDN_Currency,FDN_EntityStructure,FDN_EntityType,FDN_GeographyType,FDN_Industry,FDN_Region,FDN_Strategy,FDN_Status
790,Müller Investments SA,False,31-Dec,928468,83-1503148,215-95-6776,6940 Park Dr,Santiago,,52039,CO,No,Yes,No,Yes,Yes,https://www.mller-investments-sa.com,191,Portfolio Company-Related,CO,COP,SA,Individual,Domestic,eCommerce,South America,US Private Debt,Draft
791,Martin Solutions Ltd,False,31-Mar,4859355,57-0351266,542-48-2359,698 Broad Way,Caracas,,39751,UY,No,No,No,No,No,https://www.martin-solutions-ltd.com,192,Deal-Related,UY,UYU,Limited Company,Partnership,International,Software Development,South America,European Senior Loans,Draft
792,Kowalski Services SARL,False,30-Jun,2872859,75-6830709,247-79-9615,5153 Oak St,Kuwait City,,86997,OM,Yes,Yes,Yes,Yes,Yes,https://www.kowalski-services-sarl.com,193,Deal-Related,OM,OMR,SARL,Private Company,Domestic,Finance,Middle East,European Senior Loans,Pending Validation
793,Anderson Capital Pvt Ltd,True,31-Dec,1793938,12-6606809,669-78-8684,8005 Pine Pl,Caracas,,95419,EC,No,No,Yes,Yes,Yes,https://www.anderson-capital-pvt-ltd.com,194,Deal-Related,EC,USD,Private Company,Individual,Domestic,Software Development,South America,US Private Debt,Active
794,Taylor Holdings,False,30-Jun,1652050,62-1794516,360-88-3209,3073 Cedar Way,Guadalajara,,69905,MX,Yes,No,No,Yes,No,https://www.taylor-holdings.com,195,Portfolio Company-Related,MX,MXN,SA,Private Company,International,Healthcare,North America,European Senior Loans,Active
795,Schmidt Enterprises,False,31-Mar,4367731,23-7229768,237-43-5992,6607 Park St,San Antonio,AR,84747,US,No,No,No,Yes,Yes,https://www.schmidt-enterprises.com,196,Deal-Related,US,USD,LLC,Private Company,International,Finance,North America,Global Convertibles,Active
796,Smith Capital LLC,True,30-Sep,2645938,87-5110305,620-81-3389,7475 Highland Dr,São Paulo,,39218,UY,Yes,Yes,Yes,No,No,https://www.smith-capital-llc.com,197,Fund-Related,UY,UYU,LLC,Public Sector Undertaking,International,eCommerce,South America,European Senior Loans,Active
797,Smith Management LLC,False,31-Dec,3958447,46-0924685,640-15-3081,1462 Riverside Pl,Buenos Aires,,94008,EC,No,No,Yes,No,Yes,https://www.smith-management-llc.com,198,Portfolio Company-Related,EC,USD,LLC,Public Sector Undertaking,Domestic,Finance,South America,Global Credit,Active
798,Martin Investments,True,31-Mar,3847342,89-7080237,176-80-4177,4271 Main Blvd,Manama,,69777,AE,No,Yes,No,Yes,No,https://www.martin-investments.com,199,Fund-Related,AE,AED,Limited Company,Partnership,International,Software Development,Middle East,US Private Debt,Active
799,Thomas Holdings SA,False,31-Mar,4555542,58-0746392,459-24-1153,7774 Pine Way,Dubai,,39762,OM,Yes,No,Yes,Yes,No,https://www.thomas-holdings-sa.com,200,Portfolio Company-Related,OM,OMR,SA,Organization,International,Software Development,Middle East,European Senior Loans,Draft
800,Brown Enterprises,True,30-Jun,4487850,42-4098576,875-95-9108,9412 Cherry Blvd,Puebla,,79248,MX,No,Yes,No,Yes,Yes,https://www.brown-enterprises.com,201,Deal-Related,MX,MXN,SARL,Corporation,Domestic,eCommerce,North America,European Senior Loans,Pending Validation
801,Moreau Ventures Ltd,False,30-Sep,1130518,98-0182888,834-52-3502,7625 Spruce Dr,Jeddah,,83615,AE,Yes,Yes,No,Yes,No,https://www.moreau-ventures-ltd.com,202,Fund-Related,AE,AED,Limited Company,Organization,International,Finance,Middle East,US Private Debt,Pending Validation
802,Silva Solutions Pvt Ltd,True,31-Dec,3280261,46-3860745,721-55-3588,3116 Willow Ln,Rome,,92345,IE,No,Yes,Yes,No,No,https://www.silva-solutions-pvt-ltd.com,203,Portfolio Company-Related,IE,EUR,Private Company,Corporation,Domestic,eCommerce,Europe,European Senior Loans,Active
803,Moreau Industries SARL,False,30-Jun,2282738,19-0560573,401-12-5221,4279 Cedar Ave,Kuwait City,,32296,KW,No,Yes,No,Yes,No,https://www.moreau-industries-sarl.com,204,Deal-Related,KW,KWD,SARL,Public Sector Undertaking,Domestic,Finance,Middle East,Global Credit,Draft
804,Schmidt Services LLC,True,30-Sep,3534873,53-7087324,794-70-5706,6413 Main Ave,Tel Aviv,,47098,OM,Yes,No,Yes,No,No,https://www.schmidt-services-llc.com,205,Portfolio Company-Related,OM,OMR,LLC,Partnership,Domestic,Finance,Middle East,European Senior Loans,Active
805,Moreau Holdings Ltd,True,30-Sep,1573653,66-3261548,746-84-5896,720 Oak Rd,Jeddah,,47237,KW,Yes,Yes,Yes,Yes,Yes,https://www.moreau-holdings-ltd.com,206,Deal-Related,KW,KWD,Limited Company,Corporation,International,Software Development,Middle East,Global Convertibles,Pending Validation
806,Müller International Pvt Ltd,False,30-Sep,1776483,88-4669108,185-55-1507,5788 Washington Way,Amsterdam,,81474,PT,Yes,Yes,No,Yes,Yes,https://www.mller-international-pvt-ltd.com,207,Portfolio Company-Related,PT,EUR,Private Company,Corporation,Domestic,Finance,Europe,Global Credit,Active
807,Taylor Capital SA,False,30-Sep,2008930,25-6232188,412-57-4968,4817 Center St,Miami,GA,28630,US,Yes,No,Yes,Yes,No,https://www.taylor-capital-sa.com,208,Fund-Related,US,USD,SA,Public Sector Undertaking,Domestic,eCommerce,North America,Global Convertibles,Active
808,Brown Ventures SA,True,31-Dec,1730095,39-9551977,228-78-4013,6679 Spruce Blvd,Stockholm,,44115,BE,No,Yes,No,Yes,Yes,https://www.brown-ventures-sa.com,209,Fund-Related,BE,EUR,SA,Individual,International,Healthcare,Europe,Global Credit,Draft
809,Smith Investments Ltd,False,31-Mar,2454289,88-5086491,835-38-3838,8091 Park St,Bogotá,,74597,UY,No,Yes,No,No,Yes,https://www.smith-investments-ltd.com,210,Portfolio Company-Related,UY,UYU,Limited Company,Public Sector Undertaking,Domestic,Healthcare,South America,US Private Debt,Pending Validation
810,Dubois Industries SA,False,31-Mar,2000530,27-2991546,145-64-8036,3364 Elm Rd,Abu Dhabi,,77889,BH,Yes,No,No,Yes,No,https://www.dubois-industries-sa.com,211,Portfolio Company-Related,BH,BHD,SA,Corporation,International,Healthcare,Middle East,European Senior Loans,Pending Validation
811,Lefevre Investments Ltd,False,31-Mar,2921743,85-6904546,692-46-4413,4081 Willow Ave,Lisbon,,43423,IE,Yes,No,Yes,Yes,Yes,https://www.lefevre-investments-ltd.com,212,Portfolio Company-Related,IE,EUR,Limited Company,Individual,International,Healthcare,Europe,Global Credit,Draft
812,Harris Services SARL,True,31-Dec,1765428,93-5876348,541-71-4971,3732 Oak St,Berlin,,35712,AT,No,No,Yes,No,No,https://www.harris-services-sarl.com,213,Portfolio Company-Related,AT,EUR,SARL,Partnership,International,Healthcare,Europe,European Senior Loans,Active
813,Jackson Ventures SARL,True,30-Jun,3302966,12-4375063,666-84-9488,6842 Riverside Blvd,Santiago,,53236,AR,No,No,No,Yes,No,https://www.jackson-ventures-sarl.com,214,Fund-Related,AR,ARS,SARL,Private Company,Domestic,Construction,South America,Global Convertibles,Draft
814,Lefevre Capital Pvt Ltd,True,30-Jun,4311388,96-4621624,878-51-0176,1922 Cherry Ln,Prague,,23449,IT,Yes,No,Yes,Yes,No,https://www.lefevre-capital-pvt-ltd.com,215,Portfolio Company-Related,IT,EUR,Private Company,Partnership,International,Software Development,Europe,European Senior Loans,Draft
815,Thomas Holdings LLC,False,30-Jun,3390865,21-1596917,101-37-7812,1277 Elm Rd,Ottawa,,V7A 0W5,CA,No,Yes,Yes,Yes,No,https://www.thomas-holdings-llc.com,216,Fund-Related,CA,CAD,LLC,Private Company,Domestic,Construction,North America,Global Credit,Active
816,Jackson Services SA,True,30-Jun,1494867,24-4044680,611-91-9730,1164 Cherry St,Kuwait City,,51480,BH,Yes,Yes,Yes,Yes,No,https://www.jackson-services-sa.com,217,Fund-Related,BH,BHD,SA,Individual,International,eCommerce,Middle East,US Private Debt,Draft
817,Costa Solutions SA,False,31-Mar,1318829,19-2526267,279-46-8215,696 Highland Way,Muscat,,15293,AE,Yes,Yes,No,Yes,No,https://www.costa-solutions-sa.com,218,Fund-Related,AE,AED,SA,Partnership,International,Healthcare,Middle East,Global Credit,Pending Validation
818,Anderson Enterprises,False,31-Mar,3495275,14-1514267,157-39-9857,3585 Oak Pl,Dublin,,10089,BE,Yes,No,Yes,Yes,Yes,https://www.anderson-enterprises.com,219,Portfolio Company-Related,BE,EUR,SA,Individual,Domestic,Software Development,Europe,Global Convertibles,Pending Validation
819,Müller Investments,False,31-Mar,1444451,92-2477824,341-23-2399,4194 Lake Blvd,Stockholm,,30036,AT,No,No,No,Yes,No,https://www.mller-investments.com,220,Portfolio Company-Related,AT,EUR,LLC,Individual,Domestic,Software Development,Europe,European Senior Loans,Draft
820,Lefevre Enterprises Ltd,True,30-Jun,4653708,84-8665368,224-30-3434,1972 Center Dr,Lima,,64411,EC,No,Yes,No,Yes,Yes,https://www.lefevre-enterprises-ltd.com,221,Deal-Related,EC,USD,Limited Company,Partnership,Domestic,Finance,South America,Global Convertibles,Draft
821,Rossi Advisors SA,False,30-Jun,1763299,23-9372268,174-74-4821,5571 Cedar Pl,Phoenix,OH,85352,US,No,No,No,Yes,No,https://www.rossi-advisors-sa.com,222,Portfolio Company-Related,US,USD,SA,Partnership,International,Construction,North America,European Senior Loans,Active
822,Thomas Group SA,False,30-Sep,3086877,24-7741810,182036495673438,8338 Sunset Way,Montpellier,,71894,FR,Yes,Yes,No,No,No,https://www.thomas-group-sa.com,223,Fund-Related,FR,EUR,SA,Partnership,Domestic,Construction,Europe,US Private Debt,Pending Validation
823,Kowalski Industries,False,30-Sep,4945539,56-9007787,708-91-1392,1792 Hill Dr,Buenos Aires,,94803,VE,Yes,Yes,No,Yes,Yes,https://www.kowalski-industries.com,224,Deal-Related,VE,VES,SA,Public Sector Undertaking,International,eCommerce,South America,European Senior Loans,Active
824,Silva Services SA,False,30-Sep,3938101,88-6847048,386-14-6070,3560 Broad Ct,Guadalajara,,57537,MX,No,No,Yes,Yes,No,https://www.silva-services-sa.com,225,Portfolio Company-Related,MX,MXN,SA,Public Sector Undertaking,International,Finance,North America,Global Convertibles,Active
825,White Industries SA,True,30-Jun,2614810,25-5181620,342-64-3990,1301 Maple Blvd,Lima,,75369,EC,Yes,Yes,No,No,Yes,https://www.white-industries-sa.com,226,Deal-Related,EC,USD,SA,Organization,Domestic,Construction,South America,US Private Debt,Pending Validation
826,Schmidt Investments LLC,True,31-Dec,4301961,23-8184965,674-87-9267,6158 Willow Pl,Denver,TX,60146,US,Yes,Yes,Yes,No,No,https://www.schmidt-investments-llc.com,227,Portfolio Company-Related,US,USD,LLC,Corporation,Domestic,Finance,North America,Global Credit,Pending Validation
827,White Capital LLC,False,30-Sep,1736228,82-0689025,455-78-7018,6072 Pine Pl,Lima,,11658,CO,No,Yes,No,Yes,No,https://www.white-capital-llc.com,228,Fund-Related,CO,COP,LLC,Individual,Domestic,Construction,South America,Global Convertibles,Pending Validation
828,Kowalski Advisors SARL,True,31-Mar,1793532,67-5111102,195-31-1709,9059 Washington St,Quito,,13517,CO,Yes,No,Yes,No,Yes,https://www.kowalski-advisors-sarl.com,229,Deal-Related,CO,COP,SARL,Corporation,Domestic,Construction,South America,Global Convertibles,Active
829,Anderson Capital SA,False,30-Jun,4596908,49-5431233,265120331028159,3321 Cedar Ln,Lille,,71787,FR,No,No,No,Yes,No,https://www.anderson-capital-sa.com,230,Fund-Related,FR,EUR,SA,Individual,International,Healthcare,Europe,US Private Debt,Draft
830,Jackson Services LLC,False,30-Jun,4250805,78-0072627,842-22-3506,8261 Center Dr,Stockholm,,34264,SE,No,Yes,Yes,No,Yes,https://www.jackson-services-llc.com,231,Portfolio Company-Related,SE,SEK,LLC,Individual,Domestic,Software Development,Europe,Global Convertibles,Draft
831,White Group Ltd,True,30-Jun,3485295,55-2617171,897-23-1964,1286 Center St,Tel Aviv,,15539,KW,Yes,No,No,Yes,Yes,https://www.white-group-ltd.com,232,Fund-Related,KW,KWD,Limited Company,Partnership,International,Construction,Middle East,Global Convertibles,Draft
832,Jackson Advisors SARL,False,30-Sep,2152205,76-3478616,674-51-7837,8610 Main Dr,Buenos Aires,,70249,CL,Yes,No,No,Yes,No,https://www.jackson-advisors-sarl.com,233,Fund-Related,CL,CLP,SARL,Organization,International,eCommerce,South America,European Senior Loans,Active
833,Rossi Capital Pvt Ltd,False,31-Mar,2650535,88-6585795,701-24-5700,5767 Broad Blvd,Doha,,90541,QA,No,Yes,Yes,No,Yes,https://www.rossi-capital-pvt-ltd.com,234,Deal-Related,QA,QAR,Private Company,Partnership,Domestic,eCommerce,Middle East,Global Credit,Active
834,Harris Advisors Ltd,False,30-Jun,3186601,93-4573719,519-98-0167,6814 Market Way,Doha,,34837,BH,No,Yes,Yes,Yes,Yes,https://www.harris-advisors-ltd.com,235,Fund-Related,BH,BHD,Limited Company,Individual,Domestic,Construction,Middle East,Global Credit,Pending Validation
835,Jackson Services Pvt Ltd,True,31-Dec,2564196,91-8772377,756-94-1684,6400 Riverside Ct,Dubai,,88407,KW,Yes,Yes,Yes,Yes,No,https://www.jackson-services-pvt-ltd.com,236,Deal-Related,KW,KWD,Private Company,Partnership,International,Software Development,Middle East,US Private Debt,Draft
836,Brown Partners,False,30-Jun,1239001,83-3176691,816-25-1241,3084 Washington Dr,Santiago,,31289,CL,No,Yes,No,No,No,https://www.brown-partners.com,237,Portfolio Company-Related,CL,CLP,SA,Corporation,International,Finance,South America,European Senior Loans,Pending Validation
837,Martin Enterprises Pvt Ltd,False,30-Jun,3091350,71-5790218,440-80-8903,6181 Broad Dr,Denver,IL,41300,US,No,No,No,Yes,No,https://www.martin-enterprises-pvt-ltd.com,238,Fund-Related,US,USD,Private Company,Organization,Domestic,Construction,North America,Global Credit,Draft
838,Kowalski Solutions SA,True,31-Mar,2303990,96-2225862,827-93-2913,8256 Walnut Dr,Mexico City,,56168,MX,Yes,Yes,Yes,No,Yes,https://www.kowalski-solutions-sa.com,239,Fund-Related,MX,MXN,SA,Private Company,International,Finance,North America,Global Convertibles,Draft
839,Dubois Ventures,False,30-Jun,1256461,69-3819874,571-56-5456,3261 Sunset Ln,Dubai,,28385,IL,Yes,Yes,No,Yes,No,https://www.dubois-ventures.com,240,Portfolio Company-Related,IL,ILS,LLC,Organization,International,Construction,Middle East,European Senior Loans,Draft
840,Silva Industries SA,True,31-Dec,4757068,66-4481292,247-28-3216,1527 Willow Way,Bogotá,,61694,BR,Yes,No,Yes,No,Yes,https://www.silva-industries-sa.com,241,Deal-Related,BR,BRL,SA,Organization,Domestic,eCommerce,South America,Global Credit,Active
841,Dubois Advisors LLC,True,31-Mar,3004615,75-9257430,419-76-5582,2622 Oak St,Boston,DC,80770,US,Yes,Yes,No,No,No,https://www.dubois-advisors-llc.com,242,Fund-Related,US,USD,LLC,Individual,Domestic,eCommerce,North America,European Senior Loans,Pending Validation
842,Müller Management,True,30-Jun,1135291,14-2375493,600-93-0312,7721 Willow St,Santiago,,95037,AR,No,Yes,Yes,Yes,Yes,https://www.mller-management.com,243,Deal-Related,AR,ARS,Limited Company,Organization,Domestic,Healthcare,South America,Global Convertibles,Active
843,Johnson Partners LLC,True,31-Mar,1920186,90-0226440,109-23-8886,5545 Pine Rd,Rome,,72970,DE,No,Yes,Yes,Yes,No,https://www.johnson-partners-llc.com,244,Portfolio Company-Related,DE,EUR,LLC,Organization,International,Software Development,Europe,Global Convertibles,Draft
844,Silva Group LLC,False,30-Sep,2841561,51-7166381,254-43-3651,9575 Highland Pl,Quito,,95670,EC,Yes,Yes,No,Yes,Yes,https://www.silva-group-llc.com,245,Deal-Related,EC,USD,LLC,Public Sector Undertaking,International,Finance,South America,US Private Debt,Active
845,Martin Capital Pvt Ltd,False,30-Jun,1775248,24-9610643,476-26-5134,6230 Spruce St,Doha,,18111,SA,No,Yes,Yes,Yes,No,https://www.martin-capital-pvt-ltd.com,246,Portfolio Company-Related,SA,SAR,Private Company,Corporation,Domestic,Construction,Middle East,European Senior Loans,Draft
847,Garcia Industries SA,True,30-Sep,1142686,57-1898583,694-71-1311,2328 Cherry Ln,Quito,,77757,CO,Yes,No,Yes,No,Yes,https://www.garcia-industries-sa.com,247,Portfolio Company-Related,CO,COP,SA,Private Company,Domestic,Software Development,South America,European Senior Loans,Pending Validation
848,Martin Ventures SARL,False,30-Jun,3105217,11-1700165,541-72-3236,1389 Cherry Pl,Rome,,63833,SE,No,No,No,No,No,https://www.martin-ventures-sarl.com,248,Fund-Related,SE,SEK,SARL,Private Company,Domestic,Software Development,Europe,Global Convertibles,Active
849,Moreau Investments SA,True,30-Sep,3809343,35-0341919,736-29-3908,2069 Center Ave,Santiago,,70952,BR,No,Yes,Yes,No,No,https://www.moreau-investments-sa.com,249,Fund-Related,BR,BRL,SA,Corporation,International,Software Development,South America,Global Credit,Active
850,Martin Enterprises Pvt Ltd,False,31-Mar,3733155,82-3208920,456-49-3143,5489 Cherry Way,Monterrey,,44591,MX,No,Yes,No,No,Yes,https://www.martin-enterprises-pvt-ltd.com,250,Fund-Related,MX,MXN,Private Company,Private Company,Domestic,Finance,North America,US Private Debt,Pending Validation
851,Jackson Management SA,False,30-Sep,3469785,97-5103880,821-99-9884,661 Lake Dr,Buenos Aires,,21955,AR,No,No,Yes,Yes,No,https://www.jackson-management-sa.com,251,Deal-Related,AR,ARS,SA,Private Company,International,Construction,South America,Global Credit,Pending Validation
852,Schmidt Management Ltd,False,31-Mar,1156988,47-1619558,324-24-4706,6875 Broad Dr,Jeddah,,96824,QA,Yes,No,No,Yes,No,https://www.schmidt-management-ltd.com,252,Deal-Related,QA,QAR,Limited Company,Private Company,Domestic,Construction,Middle East,Global Convertibles,Pending Validation
853,Rossi Group Pvt Ltd,False,31-Mar,2671522,92-8775200,560-90-2793,602 Spruce Way,Riyadh,,80510,SA,No,No,Yes,Yes,No,https://www.rossi-group-pvt-ltd.com,253,Deal-Related,SA,SAR,Private Company,Private Company,International,eCommerce,Middle East,Global Convertibles,Active
854,Kowalski Industries LLC,True,30-Sep,3231661,76-4160278,350-42-2993,4016 Hill Ct,Guadalajara,,15273,MX,Yes,Yes,No,Yes,Yes,https://www.kowalski-industries-llc.com,254,Fund-Related,MX,MXN,LLC,Private Company,International,Healthcare,North America,US Private Debt,Pending Validation
855,Thomas Holdings Ltd,False,31-Mar,2903569,69-9069497,378-80-7288,2214 Walnut Blvd,Quito,,92712,CL,No,Yes,Yes,No,No,https://www.thomas-holdings-ltd.com,255,Portfolio Company-Related,CL,CLP,Limited Company,Individual,International,Finance,South America,Global Convertibles,Draft
856,Kowalski Group LLC,False,30-Jun,951528,38-0402667,154071936267237,3701 Main Ave,Montpellier,,32224,FR,No,Yes,No,Yes,Yes,https://www.kowalski-group-llc.com,256,Deal-Related,FR,EUR,LLC,Corporation,Domestic,eCommerce,Europe,Global Convertibles,Active
857,Johnson Solutions SA,True,31-Dec,3676512,38-3903481,256-27-8201,5235 Highland Way,Manama,,12523,AE,Yes,Yes,Yes,Yes,Yes,https://www.johnson-solutions-sa.com,257,Fund-Related,AE,AED,SA,Corporation,International,Healthcare,Middle East,European Senior Loans,Pending Validation
858,Smith Investments SARL,True,31-Dec,833495,63-5227389,610-57-7597,520 Highland Ave,Riyadh,,17345,OM,Yes,No,No,Yes,Yes,https://www.smith-investments-sarl.com,258,Fund-Related,OM,OMR,SARL,Organization,Domestic,Finance,Middle East,European Senior Loans,Active
859,Lefevre Industries LLC,False,31-Mar,1757188,11-9857890,635-63-1843,6791 Elm Blvd,Ottawa,,S9Y 1D9,CA,No,No,Yes,Yes,No,https://www.lefevre-industries-llc.com,259,Fund-Related,CA,CAD,LLC,Corporation,International,Construction,North America,Global Convertibles,Draft
860,Moreau Advisors LLC,False,30-Jun,2656273,81-4153632,183-52-2758,3034 Spruce Ave,Berlin,,71645,PT,Yes,No,Yes,No,Yes,https://www.moreau-advisors-llc.com,260,Portfolio Company-Related,PT,EUR,LLC,Public Sector Undertaking,Domestic,Software Development,Europe,US Private Debt,Draft
861,Jackson Advisors Ltd,False,31-Dec,3811565,23-0836704,761-41-1819,3598 Cedar St,São Paulo,,85396,EC,Yes,No,No,No,Yes,https://www.jackson-advisors-ltd.com,261,Deal-Related,EC,USD,Limited Company,Private Company,Domestic,Finance,South America,Global Credit,Draft
862,Müller Ventures,True,30-Jun,4854288,77-8802632,185-47-7671,7166 Pine Ct,Bogotá,,29478,EC,Yes,Yes,Yes,Yes,No,https://www.mller-ventures.com,262,Portfolio Company-Related,EC,USD,LLC,Corporation,International,Software Development,South America,European Senior Loans,Draft
863,Johnson Investments SARL,True,31-Dec,1302630,42-0726143,138110277309916,9860 Lake Rd,Marseille,,97896,FR,No,No,Yes,Yes,Yes,https://www.johnson-investments-sarl.com,263,Deal-Related,FR,EUR,SARL,Public Sector Undertaking,Domestic,Software Development,Europe,Global Convertibles,Pending Validation
864,Lefevre Group Pvt Ltd,False,31-Dec,2795250,51-3393983,209-37-2842,5999 Willow Rd,Lisbon,,72371,DE,No,Yes,Yes,No,Yes,https://www.lefevre-group-pvt-ltd.com,264,Portfolio Company-Related,DE,EUR,Private Company,Partnership,Domestic,Software Development,Europe,European Senior Loans,Draft
865,White Holdings,False,31-Mar,2714423,55-9067101,835-15-9839,3846 Park Ave,Rio de Janeiro,,76445,UY,No,No,Yes,No,No,https://www.white-holdings.com,265,Deal-Related,UY,UYU,LLC,Individual,Domestic,Software Development,South America,US Private Debt,Draft
866,Silva International SARL,False,31-Dec,935556,68-9254109,490-24-3204,7694 Cedar Dr,Quito,,64124,AR,No,No,No,No,No,https://www.silva-international-sarl.com,266,Portfolio Company-Related,AR,ARS,SARL,Individual,International,Healthcare,South America,Global Convertibles,Active
867,Jackson Enterprises LLC,True,31-Mar,1621057,17-6327633,856-11-1472,8513 Hill Way,Doha,,74164,IL,Yes,No,No,Yes,No,https://www.jackson-enterprises-llc.com,267,Deal-Related,IL,ILS,LLC,Partnership,International,eCommerce,Middle East,Global Credit,Pending Validation
868,Taylor International LLC,True,30-Sep,1293427,38-2193037,302-61-6098,1377 Spruce Ln,Rio de Janeiro,,12857,CO,Yes,Yes,No,Yes,Yes,https://www.taylor-international-llc.com,268,Deal-Related,CO,COP,LLC,Public Sector Undertaking,International,Software Development,South America,Global Credit,Draft
869,Harris Services SARL,True,31-Mar,1828598,94-1739191,890-84-5447,2186 Maple Dr,Caracas,,54374,BR,Yes,No,Yes,No,Yes,https://www.harris-services-sarl.com,269,Deal-Related,BR,BRL,SARL,Private Company,International,Construction,South America,US Private Debt,Active
870,Anderson Holdings,True,30-Jun,2980899,91-0160974,443-10-6164,5039 Cedar Rd,Tel Aviv,,41217,OM,Yes,Yes,No,No,No,https://www.anderson-holdings.com,270,Fund-Related,OM,OMR,SA,Partnership,Domestic,Software Development,Middle East,Global Convertibles,Active
871,Rossi International SA,True,30-Jun,4308410,96-3018500,420-80-0173,139 Pine St,Puebla,,22805,MX,No,No,Yes,Yes,Yes,https://www.rossi-international-sa.com,271,Deal-Related,MX,MXN,SA,Public Sector Undertaking,International,eCommerce,North America,US Private Debt,Pending Validation
872,Thomas Industries,True,30-Sep,2468008,19-0813936,882-10-6756,2253 Hill Ave,Riyadh,,11198,SA,No,No,Yes,Yes,No,https://www.thomas-industries.com,272,Portfolio Company-Related,SA,SAR,SA,Public Sector Undertaking,International,eCommerce,Middle East,Global Credit,Pending Validation
873,Anderson Services Ltd,True,31-Dec,4739806,83-4508325,742-63-6146,7406 Pine Ave,Manama,,77582,OM,Yes,Yes,No,No,Yes,https://www.anderson-services-ltd.com,273,Fund-Related,OM,OMR,Limited Company,Partnership,International,Construction,Middle East,European Senior Loans,Draft
874,Jackson Advisors SA,False,30-Jun,1482378,19-5221536,718-19-2018,8618 Spruce Ln,Rio de Janeiro,,80677,BR,Yes,Yes,No,Yes,Yes,https://www.jackson-advisors-sa.com,274,Deal-Related,BR,BRL,SA,Organization,Domestic,Construction,South America,European Senior Loans,Draft
875,Harris International Pvt Ltd,True,30-Jun,1830896,79-3018677,798-80-0440,7564 Lake Ct,Bogotá,,19064,CO,No,Yes,No,No,Yes,https://www.harris-international-pvt-ltd.com,275,Portfolio Company-Related,CO,COP,Private Company,Public Sector Undertaking,International,Software Development,South America,Global Convertibles,Active
876,Brown Industries SARL,False,31-Dec,1716090,35-8951610,838-29-0717,2095 Lake Way,Tel Aviv,,43099,OM,Yes,No,Yes,No,No,https://www.brown-industries-sarl.com,276,Portfolio Company-Related,OM,OMR,SARL,Corporation,International,eCommerce,Middle East,European Senior Loans,Pending Validation
877,White Partners,False,31-Mar,2108162,41-9106749,402-53-9356,6466 Maple Ln,Kuwait City,,45225,KW,No,No,Yes,No,No,https://www.white-partners.com,277,Fund-Related,KW,KWD,SARL,Organization,Domestic,Healthcare,Middle East,Global Convertibles,Pending Validation
878,Lefevre Partners Pvt Ltd,True,30-Jun,1936776,34-9535944,299-94-5954,7592 Walnut Way,Lima,,94410,UY,No,No,No,Yes,Yes,https://www.lefevre-partners-pvt-ltd.com,278,Deal-Related,UY,UYU,Private Company,Private Company,International,Software Development,South America,European Senior Loans,Active
879,Jackson Group SARL,False,30-Jun,3409885,46-2211101,303-91-1453,8460 Lake St,Manama,,18816,BH,No,No,Yes,No,No,https://www.jackson-group-sarl.com,279,Portfolio Company-Related,BH,BHD,SARL,Partnership,Domestic,Software Development,Middle East,Global Credit,Draft
880,Lefevre Ventures SARL,False,30-Jun,2205364,26-8961107,127-60-9697,9247 Oak Ave,Edmonton,,N2O 2B4,CA,No,No,No,No,Yes,https://www.lefevre-ventures-sarl.com,280,Fund-Related,CA,CAD,SARL,Corporation,Domestic,Construction,North America,Global Convertibles,Draft
881,Garcia Advisors Pvt Ltd,True,31-Dec,1177124,13-5599997,479-25-5046,3862 Center Ct,Montevideo,,87125,AR,Yes,No,Yes,No,No,https://www.garcia-advisors-pvt-ltd.com,281,Fund-Related,AR,ARS,Private Company,Corporation,International,Software Development,South America,Global Convertibles,Active
882,Costa Solutions LLC,False,30-Sep,2327082,50-8814666,325-33-8529,1118 Cherry Blvd,Puebla,,81182,MX,No,No,No,No,Yes,https://www.costa-solutions-llc.com,282,Fund-Related,MX,MXN,LLC,Organization,Domestic,eCommerce,North America,US Private Debt,Active
883,Johnson Partners Ltd,True,30-Sep,1122616,56-8610704,707-23-7405,8255 Hill St,Seattle,DC,96363,US,No,No,Yes,No,No,https://www.johnson-partners-ltd.com,283,Fund-Related,US,USD,Limited Company,Private Company,International,Healthcare,North America,Global Credit,Draft
884,Martin Group Ltd,False,30-Sep,2771630,51-4389007,791-50-6737,6413 Broad Way,Montevideo,,44170,EC,Yes,No,No,No,Yes,https://www.martin-group-ltd.com,284,Fund-Related,EC,USD,Limited Company,Corporation,International,Software Development,South America,Global Convertibles,Pending Validation
885,Rossi Solutions Pvt Ltd,False,30-Sep,4424179,66-1537895,465-32-3854,8913 Main Ct,Lisbon,,72600,DE,No,Yes,Yes,No,No,https://www.rossi-solutions-pvt-ltd.com,285,Portfolio Company-Related,DE,EUR,Private Company,Private Company,Domestic,Healthcare,Europe,European Senior Loans,Draft
886,Müller Investments LLC,False,31-Mar,3135654,71-3788807,194-43-4853,1357 Park Pl,Santiago,,96439,VE,Yes,Yes,Yes,Yes,No,https://www.mller-investments-llc.com,286,Portfolio Company-Related,VE,VES,LLC,Individual,Domestic,Healthcare,South America,Global Credit,Draft
